,Project ID,Deployment ID,Image ID,Location,Photo Type,Photo Type Identified by,Genus Species,Uncertainty,IUCN Identification Number,Date_Time Captured,Date,Time,Age,Sex,Individual ID,Count,Animal recognizable (Y/N),Individual Animal Notes,Event Name,Array Name (Optional),Depolyment Location ID,Longitude Resolution,Latitude Resolution,camera_trap_art_date,Camera Deployment Begin Date,camera_trap_end_date,Camera Deployment End Date,Bait Type,Bait Description,Feature Type,Feature Type Methodology,Camera ID,Quiet Period Setting,Restriction on Access,Camera Failure Details,Camera Hardware Failure,
34,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220014.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:56:38,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
35,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220015.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:56:40,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
36,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220016.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:56:40,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
37,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220017.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:56:41,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
38,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220018.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:56:42,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
39,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220019.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:56:45,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
40,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220020.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:56:46,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
41,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220021.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:56:46,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
42,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220022.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:56:47,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
43,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220023.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:56:49,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
44,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220024.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:56:50,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
45,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220025.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:57:03,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
46,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220026.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:57:06,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
47,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220027.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:57:09,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
48,LC,LC_Mayo_2018_CT-LC-01-02,LC_Mayo_2018_CT-LC-01-02_05220028.JPG,NA,Setup/Pickup,NA,NA,NA,NA,2018-05-22 13:57:10,,,NA,NA,NA,NA,NA,NA,Mayo 2018,CT-LC-1,CT-LC-01-02,-77.13027499616146,1.056463038548827,2018-05-22,2018-05-22,2018-06-29,2018-06-29,No Bait,NA,Trail, hiking/people,NA,B160533677,NA,NA,NA,NA
